City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
181,thongwa,16.7619,96.5278,80.76,66,30,8.5,MM,1669255031
182,kaka,37.3482,59.6143,55.81,28,96,2.68,TM,1669255031
183,norman wells,65.282,-126.8329,8.64,92,40,3.44,CA,1669255092
184,san patricio,28.017,-97.5169,66.92,96,95,8.32,US,1669255092
185,talnakh,69.4865,88.3972,-30.37,96,12,1.63,RU,1669255092
186,clyde river,70.4692,-68.5914,-3.77,65,100,2.3,CA,1669255093
187,ampanihy,-24.7,44.75,71.98,80,1,6.04,MG,1669255093
188,bundaberg,-24.85,152.35,80.22,40,98,3.0,AU,1669255093
189,los llanos de aridane,28.6585,-17.9182,65.95,87,100,8.05,ES,1669254978
190,lisala,2.15,21.5167,68.13,96,11,1.77,CD,1669255094
191,bethel,41.3712,-73.414,42.94,70,6,4.05,US,1669254877
192,fort nelson,58.8053,-122.7002,28.94,73,100,2.3,CA,1669255094
193,leningradskiy,69.3833,178.4167,-6.97,97,100,2.24,RU,1669255095
194,sioux lookout,50.1001,-91.917,32.07,86,75,8.05,CA,1669255095
195,acapulco,16.8634,-99.8901,78.49,83,97,4.21,MX,1669255013
196,zhezkazgan,47.8043,67.7144,31.98,93,100,13.42,KZ,1669255095
197,poum,-20.2333,164.0167,79.3,78,55,13.29,NC,1669255096
198,ponta do sol,32.6667,-17.1,67.01,68,33,5.61,PT,1669255001
199,chardara,41.2547,67.9692,53.71,57,100,9.8,KZ,1669255096
200,viedma,-40.8135,-62.9967,70.27,42,3,16.06,AR,1669255096
201,baykit,61.67,96.37,-10.17,98,100,2.46,RU,1669255097
202,kirakira,-10.4544,161.9205,84.85,72,41,7.58,SB,1669255097
203,yar-sale,66.8333,70.8333,-14.55,100,98,3.94,RU,1669255097
204,anadyr,64.75,177.4833,23.5,92,100,46.98,RU,1669255098
205,muncar,-8.4333,114.3333,82.29,78,99,3.47,ID,1669255098
206,pacific grove,36.6177,-121.9166,59.54,80,95,11.01,US,1669254901
207,cleethorpes,53.5605,-0.0323,44.6,81,20,17.27,GB,1669255098
208,labuhan,-6.8844,112.2051,83.16,73,100,5.97,ID,1669255099
209,kudahuvadhoo,2.6708,72.8944,81.48,74,98,14.72,MV,1669255099
210,tucurui,-3.7661,-49.6725,74.3,92,59,3.49,BR,1669255100
211,bani,18.2833,-70.3333,74.64,81,1,8.9,DO,1669255100
212,canutama,-6.5339,-64.3831,71.17,98,55,0.56,BR,1669255100
213,ranong,9.9658,98.6348,76.93,85,100,3.02,TH,1669255101
214,cuamba,-14.8031,36.5372,69.26,90,97,3.94,MZ,1669255101
215,beringovskiy,63.05,179.3167,27.37,89,98,9.53,RU,1669255101
216,tsaratanana,-16.7833,47.65,71.33,74,100,7.54,MG,1669255102
217,belgrade,44.804,20.4651,40.66,92,75,6.91,RS,1669255082
218,thompson,55.7435,-97.8558,21.36,100,40,8.05,CA,1669254961
219,fortuna,40.5982,-124.1573,49.98,89,0,0.0,US,1669255102
220,hami,42.8,93.45,34.02,51,99,5.14,CN,1669255103
221,cidreira,-30.1811,-50.2056,65.43,76,7,4.41,BR,1669255103
222,siocon,7.7061,122.1353,85.78,65,87,2.24,PH,1669255103
223,teguldet,57.3064,88.1667,-8.41,94,100,8.7,RU,1669255104
224,manggar,-2.8833,108.2667,83.53,72,100,2.84,ID,1669255104
225,show low,34.2542,-110.0298,41.29,32,0,9.22,US,1669255104
226,ancud,-41.8697,-73.8203,50.11,90,54,5.26,CL,1669255105
227,baymak,52.5933,58.3225,18.37,96,100,7.56,RU,1669255105
228,kapoeta,4.7717,33.5903,77.16,64,87,3.0,SS,1669255105
229,subtanjalla,-14.0189,-75.7581,67.66,70,0,2.59,PE,1669254816
230,santa marta,11.2408,-74.199,78.89,83,75,4.0,CO,1669254968
231,georgetown,5.4112,100.3354,81.95,94,40,5.01,MY,1669254900
232,alingsas,57.9303,12.5335,39.02,91,99,8.99,SE,1669255166
233,necochea,-38.5473,-58.7368,58.59,76,0,3.96,AR,1669255166
234,yulara,-25.2406,130.9889,77.32,50,60,8.84,AU,1669254964
235,northam,51.0333,-4.2167,50.25,76,6,22.7,GB,1669255167
236,tabuk,17.4189,121.4443,83.46,71,90,7.18,PH,1669255167
237,mitsamiouli,-11.3847,43.2844,78.6,76,1,12.64,KM,1669255167
238,inirida,3.8653,-67.9239,73.02,98,100,2.13,CO,1669255168
239,bengkulu,-3.8004,102.2655,78.24,80,100,3.09,ID,1669255168
240,dongsheng,39.8161,109.9776,40.89,44,60,14.2,CN,1669255168
241,provideniya,64.3833,-173.3,19.51,73,100,8.99,RU,1669255168
242,charleville,-26.4,146.25,84.9,16,100,8.61,AU,1669255169
243,belaya gora,68.5333,146.4167,-30.96,100,100,2.26,RU,1669255059
244,ingham,42.6,-84.3833,44.02,84,0,0.0,US,1669255169
245,margarita,9.3314,-79.8889,77.95,100,30,0.6,PA,1669255169
246,sanford,28.8006,-81.2731,70.18,96,96,1.99,US,1669255170
247,schonebeck,52.0167,11.75,37.76,93,94,5.01,DE,1669255170
248,de aar,-30.6497,24.0123,64.8,32,0,5.19,ZA,1669255170
249,yuzhno-kurilsk,44.0306,145.8556,44.47,74,100,11.56,RU,1669255170
250,kadoma,34.7333,135.5833,62.65,61,75,10.36,JP,1669255171
251,damphu,27.0721,90.1096,61.16,58,15,3.09,BT,1669255171
252,punta alta,-38.8759,-62.0736,73.54,49,0,13.2,AR,1669255153
253,taoudenni,22.6783,-3.9836,70.66,9,100,10.25,ML,1669255171
254,kavaratti,10.5669,72.642,79.7,76,83,8.72,IN,1669255172
255,codrington,-38.2667,141.9667,58.3,68,99,8.21,AU,1669255172
256,coquimbo,-29.9533,-71.3436,58.73,88,20,5.75,CL,1669255172
257,methoni,36.8197,21.7049,55.22,72,9,10.31,GR,1669255173
258,havelock,34.8791,-76.9013,55.94,73,0,1.99,US,1669255173
259,katangli,51.7102,143.2326,19.47,59,2,9.35,RU,1669255173
260,torbay,47.6666,-52.7314,33.76,90,100,16.11,CA,1669254981
261,lacarak,45.0022,19.5686,42.94,81,100,11.97,RS,1669255174
262,dasuya,31.8183,75.6597,55.51,44,91,1.41,IN,1669255174
263,onega,63.9061,38.1404,13.19,95,23,5.12,RU,1669255174
264,bereznik,62.8551,42.7072,9.82,95,7,4.29,RU,1669255174
265,harper,4.375,-7.7169,77.92,85,10,6.04,LR,1669255175
266,hoshiarpur,31.5322,75.9172,55.26,45,94,1.9,IN,1669255175
267,fevik,58.3794,8.6766,46.17,91,100,19.33,NO,1669255175
268,ixtapa,20.7,-105.2,76.23,80,100,1.79,MX,1669255175
269,bonthe,7.5264,-12.505,77.59,80,100,3.2,SL,1669255111
270,nampula,-15.1165,39.2666,73.35,88,75,8.05,MZ,1669255176
271,thai binh,20.45,106.3333,76.95,85,100,9.51,VN,1669255176
272,nemuro,43.3236,145.575,46.81,68,100,17.45,JP,1669255176
273,richards bay,-28.783,32.0377,71.89,81,0,14.92,ZA,1669255177
274,khvastovichi,53.4694,35.0941,17.1,98,50,3.4,RU,1669255237
275,oeiras,-7.0253,-42.1311,79.9,52,71,3.91,BR,1669255038
276,lomovka,53.9194,58.3672,15.4,96,100,4.16,RU,1669255238
277,menongue,-14.6585,17.691,62.4,91,100,3.65,AO,1669255238
278,wau,7.7029,27.9953,76.93,53,11,4.83,SS,1669255238
279,okhotsk,59.3833,143.3,-0.2,79,100,18.25,RU,1669255239
280,deputatskiy,69.3,139.9,-31.31,99,92,3.13,RU,1669255239
281,kendari,-3.945,122.4989,87.53,65,97,2.24,ID,1669255239
282,mount isa,-20.7333,139.5,91.17,18,85,9.22,AU,1669255240
283,sulmona,42.0479,13.9291,48.42,77,14,4.7,IT,1669255240
284,mildura,-34.2,142.15,73.08,52,88,8.81,AU,1669255146
285,vardo,70.3705,31.1107,21.18,86,44,21.85,NO,1669255241
286,usinsk,65.9939,57.5281,-1.01,100,93,6.6,RU,1669255241
